Chamber Pressure (MPa),Burn rate (mm/s)
0.4769790689673727,0.907903358825805
0.482444744793611,0.9180002644542504
0.48781306761531074,0.9323625295981539
0.49829937696132526,0.9641726546297241
0.5225819978076666,1.0385447212287648
0.5815918261301328,1.200773263997319
0.6897371065587137,1.3797400425764532
0.778884643571914,1.5158306381120563
0.8288684576164448,1.6262171209878515
0.8974745106720012,1.7593604832211196
0.9710872896752569,1.9142970025976642
1.067744915610006,2.0892605885186875
1.1496605151431964,2.2337775440296928
1.2297403151622304,2.397767428613402
1.3185401628735072,2.5720294321139754
1.426101325316579,2.756828574680452
1.512689869067622,2.92147326465509
1.6043824917709029,3.0715798443306657
1.6757978743860016,3.208025386420124
1.757282339184807,3.3301780623683817
1.8071409850806448,3.440558603830295
1.8796828807558248,3.5056483806172727
1.8829511601939064,3.5067181619352388
1.8862472547761417,3.6977108348508825
2.096362853714586,3.9402588337080524
2.1480294839804275,4.044545064061137
2.21428515735498,4.157026552461851
2.2760208698045274,4.269005333157605
2.344793813725007,4.3742586438524595
2.393094811548228,4.453840673323239
2.442967365016143,4.542964391493134
2.4954545420345235,4.63383724831562
2.5496523504183677,4.722608515474943
2.600748770229054,4.795790973620747
2.6412476201171096,4.8546006022017085
2.6719694468350754,4.908132597757537
2.7110914470875143,4.9902196793320375
2.767278038278361,5.062014955358779
2.8023807502005638,5.096727430869932
2.8182910126565854,5.137065657785484
2.8535467078716343,5.181151429561292
2.8786359678984383,5.220003787637142
2.9073551042373245,5.27127520493227
2.9414286558258333,5.308265027440771
2.963652956004786,5.336916709831059
2.984319608111123,5.385424583918464
3.0213554725520204,5.424138168307044
3.044094352897821,5.450298976350621
3.0615900785706143,5.467050678745017
3.0745380281742474,5.499314624032988
3.1037578371079038,5.543191822228862
3.1352028575738706,5.591533486869425
3.165576994989912,5.610066049846153
3.1749089758535405,5.621271098655539
3.187119824137096,5.656954073660563
3.220845686423681,5.6765854424463456
3.2274100604439977,5.703475554991618
3.2545715487102664,5.742546674823547
3.281927742985612,5.767929414497127
3.298686367338327,5.769376332089918
3.299548636807098,5.756328498877633
3.295557163621015,5.778485112829783
3.3229550806125916,5.823079114990861
3.354608714659712,5.852199981365537
3.3722435160532753,5.861539024803254
3.3801569245650556,5.881310374339134
3.398723533287774,5.906636318092919
3.420002118565495,5.926194371871945
3.4337010770612837,5.947869761259538
3.4522955009281553,5.959542122099923
3.4619473559495537,5.963723192550344
3.4679832422309462,5.980016652295355
3.4854233376154324,5.996532709454492
3.498204396354142,6.026142371193182
3.522570462632945,6.017060036990935
3.5149212979906266,5.99941406305591
3.509594697885158,5.988060479123248
3.5088436889930033,5.984632706374577
3.5118616321336993,5.990910792330177
3.5210962599927886,6.037588257057496
3.557589729122686,6.055856142086759
3.5675753658739304,6.020733270835031
3.544655687091129,6.015786231683529
3.5516372882737546,6.020056928820332
3.5583963683031485,6.015887243880103
3.5587579651771493,6.01455635972681
3.562234858196385,6.018793541290791
3.5689661230816245,6.028824489188902
3.578965667404946,6.055620318014428
3.5997157649437446,6.060636539502818
3.6043608940174434,6.008790091529179
3.574473521624094,5.9962943629531695
3.572109234371014,5.982079417634774
3.566949525130468,5.960653262028248
3.5570195186675315,5.94962169247267
3.554154558819681,5.935203737913412
3.548661067849289,5.922898579691733
3.5444053507937445,5.947618055716842
3.5636395229761555,5.923111500988934
3.5489670344349813,5.885999116702386
3.5309845437394953,5.882650126422963
3.531763367775804,5.869128794072661
3.526269876805412,5.861988782840328
3.524169833421793,5.864574516531834
3.5285089959097995,5.85771164013437
3.5265202131027964,5.868239915825818
3.5352819835112705,5.843429894740362
3.521652562875867,5.86477187735041
3.5367840012955805,5.901159686579728
3.5622904884846927,5.92382629265585
3.5767543634447123,5.9492394564693205
3.5938189543831203,5.9445568214986695
3.5930957606351193,5.966234034072232
3.6082132914827563,5.922557447811199
3.585307520272032,5.949658083473969
3.601468119025439,5.998257516847508
3.6309521718285565,5.999674981077227
3.634456879991946,6.07889070954283
3.681158507026318,6.089814807003244
3.691171958921717,6.164106178307518
3.734883457959547,6.262122113597327
3.796494002260401,6.293259515259452
3.8167017044881986,6.3003937606152425
3.823279986080592,6.282701170803018
3.8147268292532726,6.243542676276265
3.7948529087553218,6.239707928574486
3.7905832841277003,6.250168247305556
3.7967860612740165,6.23919951881235
3.7922104700607027,6.201926222186963
3.7723921798510602,6.242475409703102
3.793072739529473,6.234690950728004
3.791097864294548,6.242223053446622
3.7952423207734767,6.287170522139216
3.818273260132893,6.342066100712842
3.852680593451248,6.361202199957264
3.8660318626451127,6.332502354325054
3.8533203417667874,6.353984704167427
3.8623741711888773,6.379643451601984
3.8773665338878205,6.560048745558193
3.9656796165764048,6.71209852312198
4.064645899475926,6.720131829523377
4.080723052796872,6.662786260130686
4.054729800585066,6.641184991439473
4.038972521421891,6.613259129845321
4.0210873837309435,6.698832004672308
4.057678205865378,6.736850012365567
