Pressure (MPa),Burn Rate (mm/s)
0.0, 0.0
0.103,2.3091630392338494
0.109927,2.412875560366111
0.116854,2.5144840753019824
0.123781,2.6141524572550128
0.130708,2.712023417462697
0.137635,2.808222209136172
0.144562,2.902859530027714
0.15148899999999998,2.9960338269852227
0.158416,3.087833147333071
0.16534300000000002,3.1783366420528707
0.17227,3.2676157980525047
0.179197,3.355735457245799
0.186124,3.4427546661159933
0.193051,3.5287273892010416
0.199978,3.613703112382793
0.206905,3.6977273562155752
0.21383200000000002,3.7808421152624874
0.220759,3.863086236149112
0.227686,3.9444957445319258
0.23461300000000002,4.0251041292240455
0.24154000000000003,4.104942590187505
0.248467,4.184040255888829
0.255394,4.262424374548888
0.262321,4.340120483043539
0.269248,4.417152556586318
0.276175,4.493543141816661
0.283102,4.569313475502349
0.29002900000000004,4.644483590724165
0.296956,4.7190724121295
0.303883,4.793097841608245
0.31081000000000003,4.866576835549831
0.31773700000000005,4.939525474677398
0.324664,5.011959027318163
0.331591,5.083892006853447
0.33851800000000004,5.155338223993916
0.345445,5.226310834442217
0.352372,5.296822382434165
0.35929900000000004,5.3668848405886385
0.366226,5.436509646444146
0.373153,5.505707736014821
0.38008000000000003,5.574489574659705
0.387007,5.642865185525372
0.393934,5.710844175792571
0.400861,5.778435760931985
0.40778800000000004,5.845648787151846
0.414715,5.912491752200544
0.421642,5.978972824670196
0.42856900000000003,6.045099861931979
0.435496,6.110880426820738
0.442423,6.17632180317452
0.44935,6.241431010324321
0.45627700000000004,6.306214816619986
0.463204,6.370679752070033
0.470131,6.434832120165804
0.47705800000000004,6.498678008953771
0.48398500000000005,6.562223301414045
0.490912,6.625473685197828
0.49783900000000003,6.688434661771874
0.504766,6.751111555013813
0.5116930000000001,6.813509519298378
0.5186200000000001,6.875633547111169
0.5255470000000001,6.937488476223472
0.5324740000000001,6.999078996458901
0.539401,7.060409656080069
0.546328,7.1214848678212315
0.553255,7.182308914590741
0.5601820000000001,7.242885954865316
0.5671090000000001,7.303220027796352
0.5740360000000001,7.363315058046986
0.5809630000000001,7.423174860377165
0.58789,7.482803143992717
0.594817,7.542203516673189
0.6017440000000001,7.601379488692137
0.6086710000000001,7.660334476542587
0.6155980000000001,7.719071806479453
0.622525,7.777594717889838
0.629452,7.8359063665014395
0.636379,7.894009827438477
0.643306,7.95190809813402
0.6502330000000001,8.0096041011069
0.6571600000000001,8.067100686610882
0.6640870000000001,8.124400635163278
0.671014,8.18150665995965
0.677941,8.238421409180887
0.684868,8.295147468198474
0.691795,8.351687361683462
0.6987220000000001,8.40804355562424
0.7056490000000001,8.464218459257916
0.7125760000000001,8.520214426919829
0.719503,8.576033759815425
0.72643,8.631678707718452
0.733357,8.687151470599224
0.740284,8.74245420018647
0.7472110000000001,8.797589001466074
0.7541380000000001,8.852557934119782
0.7610650000000001,8.907363013906863
0.767992,8.962006213991453
0.774919,9.016489466218179
0.781846,9.070814662338552
0.7887730000000001,9.124983655190409
0.7957000000000001,9.178998259832644
0.8026270000000001,9.232860254637258
0.8095540000000001,9.364047828830667
0.8164810000000001,9.339029379904622
0.823408,9.314288291689277
0.830335,9.289819194479378
0.8372620000000001,9.265616866217961
0.8441890000000001,9.241676227254953
0.8511160000000001,9.217992335333092
0.8580430000000001,9.194560380789577
0.8649700000000001,9.171375681962457
0.871897,9.148433680791506
0.878824,9.125729938603861
0.8857510000000001,9.103260132075278
0.8926780000000001,9.081020049358356
0.8996050000000001,9.059005586369647
0.9065320000000001,9.037212743227881
0.9134590000000001,9.015637620836156
0.920386,8.994276417601114
0.927313,8.973125426282737
0.9342400000000001,8.952181030968568
0.9411670000000001,8.931439704166564
0.9480940000000001,8.910898004011122
0.9550210000000001,8.890552571577055
0.9619480000000001,8.87040012829662
0.968875,8.850437473474907
0.9758020000000001,8.830661481899199
0.9827290000000001,8.811069101538088
0.9896560000000001,8.791657351326386
0.9965830000000001,8.772423319032049
1.0035100000000001,8.753364159201526
1.0104370000000003,8.734477091180143
1.0173640000000002,8.71575939720428
1.024291,8.69720842056227
1.0312180000000002,8.678821563821096
1.038145,8.660596287116118
1.0450720000000002,8.642530106501175
1.0519990000000001,8.624620592356534
1.0589260000000003,8.606865367852341
1.0658530000000002,8.589262107465224
1.07278,8.57180853554592
1.0797070000000002,8.554502424935855
1.086634,8.537341595630684
1.0935610000000002,8.520323913488898
1.1004880000000001,8.503447288983757
1.107415,8.486709675996766
1.1143420000000002,8.470109070651104
1.121269,8.453643510183438
1.1281960000000002,8.437311071852616
1.135123,8.421109871883825
1.14205,8.405038064446858
1.1489770000000001,8.38909384066717
1.155904,8.373275427668517
1.1628310000000002,8.357581087645928
1.169758,8.342009116967944
1.1766850000000002,8.326557845306972
1.183612,8.311225634796756
1.190539,8.296010879215943
1.1974660000000001,8.280912003196796
1.204393,8.265927461458144
1.2113200000000002,8.251055738061684
1.218247,8.236295345690797
1.2251740000000002,8.221644824951083
1.2321010000000001,8.207102743691818
1.239028,8.192667696347625
1.2459550000000001,8.178338303299624
1.252882,8.164113210255378
1.2598090000000002,8.14999108764702
1.266736,8.13597063004687
1.2736630000000002,8.122050555599984
1.2805900000000001,8.10822960547306
1.287517,8.094506543319106
1.2944440000000002,8.080880154757374
1.301371,8.067349246868027
1.3082980000000002,8.053912647701049
1.315225,8.04056920579893
1.3221520000000002,8.027317789732649
1.3290790000000001,8.014157287650558
1.336006,8.00108660683969
1.3429330000000002,7.988104673299125
1.34986,7.975210431325018
1.3567870000000002,7.962402843106893
1.363714,7.949680888334857
1.3706410000000002,7.937043563817387
1.3775680000000001,7.924489883109334
1.384495,7.912018876149858
1.3914220000000002,7.899629588909925
1.398349,7.887321083049136
1.4052760000000002,7.875092435581524
1.412203,7.862942738550111
1.4191300000000002,7.850871098709897
1.4260570000000001,7.838876637219049
1.432984,7.826958489338049
1.4399110000000002,7.815115804136532
1.446838,7.8033477442076
1.4537650000000002,7.791653485389381
1.460692,7.7800322164936215
1.4676190000000002,7.768483139041083
1.4745460000000001,7.757005467003576
1.4814730000000003,7.745598426552391
1.4884000000000002,7.7342612558129815
1.495327,7.722993204625682
1.5022540000000002,7.810568168119975
1.509181,7.81010106211724
1.5161080000000002,7.809636122929303
1.5230350000000001,7.8091733306733
1.5299620000000003,7.808712665738205
1.5368890000000002,7.808254108779909
1.543816,7.807797640716399
1.5507430000000002,7.807343242723054
1.55767,7.806890896228035
1.5645970000000002,7.806440582907791
1.5715240000000001,7.805992284682649
1.5784510000000003,7.805545983712519
1.5853780000000002,7.80510166239268
1.592305,7.804659303349657
1.5992320000000002,7.8042188894372035
1.6061590000000001,7.803780403732351
1.6130860000000002,7.803343829531558
1.6200130000000001,7.802909150346934
1.6269400000000003,7.80247634990255
1.6338670000000002,7.8020454121308225
1.640794,7.801616321168978
1.6477210000000002,7.801189061355588
1.6546480000000001,7.800763617227183
1.6615750000000002,7.80033997351493
1.6685020000000002,7.799918115141386
1.6754290000000003,7.799498027217313
1.6823560000000002,7.799079695038567
1.689283,7.798663104083039
1.6962100000000002,7.7982482400076725
1.7031370000000001,7.797835088645531
1.7100640000000003,7.79742363600293
1.7169910000000002,7.797013868256628
1.7239180000000003,7.796605771751068
1.7308450000000002,7.7961993329956885
1.737772,7.7957945386622685
1.7446990000000002,7.795391375582341
1.7516260000000001,7.794989830744654
1.7585530000000003,7.794589891292676
1.7654800000000002,7.79419154452216
1.7724070000000003,7.793794777878748
1.7793340000000002,7.793399578955626
1.786261,7.793005935491216
1.7931880000000002,7.792613835366935
1.8001150000000001,7.792223266604972
1.8070420000000003,7.791834217366119
1.8139690000000002,7.791446675947643
1.8208960000000003,7.791060630781206
1.8278230000000002,7.7906760704308065
1.83475,7.7902929835907795
1.8416770000000002,7.789911359083818
1.8486040000000001,7.789531185859045
1.8555310000000003,7.789152452990114
1.8624580000000002,7.788775149673349
1.8693850000000003,7.788399265225911
1.8763120000000002,7.78802478908401
1.883239,7.787651710801143
1.8901660000000002,7.787280020046366
1.8970930000000001,7.786909706602599
1.9040200000000003,7.786540760364956
1.9109470000000002,7.786173171339118
1.9178740000000003,7.7858069296397145
1.9248010000000002,7.7854420254887655
1.9317280000000001,7.785078449214116
1.9386550000000002,7.7847161912479255
1.9455820000000001,7.784355242125175
1.9525090000000003,7.783995592482194
1.9594360000000002,7.783637233055229
1.9663630000000003,7.78328015467902
1.9732900000000002,7.782924348285417
1.9802170000000001,7.7825698049020104
1.9871440000000002,7.782216515650793
1.9940710000000001,7.781864471746837
2.0009980000000005,7.7815136644970035
2.007925,7.781164085298668
2.0148520000000003,7.780815725638465
2.0217790000000004,7.780468577091068
2.028706,7.780122631317972
2.0356330000000002,7.779777880066311
2.0425600000000004,7.779434315167688
2.0494870000000005,7.779091928537031
2.056414,7.778750712171459
2.0633410000000003,7.77841065814918
2.0702680000000004,7.778071758628394
2.077195,7.777734005846223
2.0841220000000003,7.777397392117659
2.0910490000000004,7.777061909834521
2.0979760000000005,7.776727551464447
2.1049030000000006,7.7763943095498735
2.1118300000000003,7.776062176707069
2.1187570000000004,7.775731145625146
2.1256840000000006,7.77540120906512
2.1326110000000003,7.775072359858965
2.1395380000000004,7.774744590908687
2.1464650000000005,7.774417895185426
2.1533920000000006,7.774092265728548
2.1603190000000003,7.773767695644779
2.1672460000000004,7.773444178107332
2.1741730000000006,7.773121706355055
2.1811000000000003,7.7728002736916
2.1880270000000004,7.772479873484589
2.1949540000000005,7.772160499164813
2.2018810000000006,7.771842144225424
2.2088080000000003,7.771524802221153
2.2157350000000005,7.771208466767538
2.2226620000000006,7.7708931315401575
2.2295890000000003,7.770578790273888
2.2365160000000004,7.770265436762156
2.2434430000000005,7.769953064856222
2.2503700000000006,7.769641668464456
2.2572970000000003,7.769331241551639
2.2642240000000005,7.769021778138269
2.2711510000000006,7.7687132722998715
2.2780780000000003,7.768405718166337
2.2850050000000004,7.768099109921251
