"Tempo(s)","Empuxo(N)"
"0","123.3332453644"
"0.00039080963782829","68.135520252845"
"0.0013908096378283","61.889879591638"
"0.0023908096378283","177.25841496182"
"0.0033908096378283","279.63419981005"
"0.0043908096378283","370.49132335482"
"0.0053908096378283","451.13567222201"
"0.0063908096378283","522.72423244722"
"0.0073908096378283","586.28216400477"
"0.0083908096378283","642.71790635297"
"0.0093908096378283","692.83654332235"
"0.010390809637828","737.35162904959"
"0.011390809637828","776.89565315733"
"0.012390809637828","812.02930263148"
"0.013390809637828","843.24965952769"
"0.014390809637828","870.99745746256"
"0.015390809637828","895.66350555959"
"0.016390809637828","917.59437590373"
"0.017390809637828","937.09743941454"
"0.018390809637828","954.44532520443"
"0.019390809637828","969.87986979219"
"0.020390809637828","983.61561485886"
"0.021390809637828","995.84290544405"
"0.022390809637828","1006.7306344816"
"0.023390809637828","1016.4286742714"
"0.024390809637828","1025.070030799"
"0.025390809637828","1032.7727526703"
"0.026390809637828","1039.6416227701"
"0.027390809637828","1045.7696575125"
"0.028390809637828","1051.2394356912"
"0.029390809637828","1056.1242764051"
"0.030390809637828","1060.4892832977"
"0.031390809637828","1064.392270367"
"0.032390809637828","1067.8845828534"
"0.033390809637828","1071.0118251631"
"0.034390809637828","1073.8145064144"
"0.035390809637828","1076.3286129813"
"0.036390809637828","1078.5861163372"
"0.037390809637828","1080.615423551"
"0.038390809637828","1082.441776947"
"0.039390809637828","1084.0876086995"
"0.040390809637828","1085.57285547"
"0.041390809637828","1086.9152376169"
"0.042390809637828","1088.1305069876"
"0.043390809637828","1089.2326668495"
"0.044390809637828","1090.2341671093"
"0.045390809637828","1091.1460776134"
"0.046390809637828","1091.9782420036"
"0.047390809637828","1092.7394143237"
"0.048390809637828","1093.4373803192"
"0.049390809637828","1094.0790651577"
"0.050390809637828","1094.6706290969"
"0.051390809637828","1095.2175524569"
"0.052390809637828","1095.7247110995"
"0.053390809637828","1096.1964434808"
"0.054390809637828","1096.6366102232"
"0.055390809637828","1097.048647046"
"0.056390809637828","1097.4356118"
"0.057390809637828","1097.8002262649"
"0.058390809637828","1098.1449132977"
"0.059390809637828","1098.4718298513"
"0.060390809637828","1098.782896325"
"0.061390809637828","1099.0798226564"
"0.062390809637828","1099.3641315198"
"0.063390809637828","1099.6371789521"
"0.064390809637828","1099.9001726944"
"0.065390809637828","1100.1541885029"
"0.066390809637828","1100.4001846558"
"0.067390809637828","1100.6390148566"
"0.068390809637828","1100.8714397115"
"0.069390809637828","1101.098136941"
"0.070390809637828","1101.3197104636"
"0.071390809637828","1101.5366984797"
"0.072390809637828","1101.7495806638"
"0.073390809637828","1101.9587845659"
"0.074390809637828","1102.1646913083"
"0.075390809637828","1102.3676406562"
"0.076390809637828","1102.5679355319"
"0.077390809637828","1102.7658460324"
"0.078390809637828","1102.9616130073"
"0.079390809637828","1103.1554512445"
"0.080390809637828","1103.347552306"
"0.081390809637828","1103.5380870542"
"0.082390809637828","1103.7272079017"
"0.083390809637828","1103.915050815"
"0.084390809637828","1104.1017370994"
"0.085390809637828","1104.287374989"
"0.086390809637828","1104.4720610633"
"0.087390809637828","1104.6558815098"
"0.088390809637828","1104.8389132482"
"0.089390809637828","1105.0212249332"
"0.090390809637828","1105.2028778474"
"0.091390809637828","1105.3839266977"
"0.092390809637828","1105.5644203249"
"0.093390809637828","1105.7444023365"
"0.094390809637828","1105.9239116705"
"0.095390809637828","1106.1029830985"
"0.096390809637828","1106.2816476741"
"0.097390809637828","1106.4599331327"
"0.098390809637828","1106.6378642483"
"0.099390809637828","1106.8154631511"
"0.10039080963783","1106.9927496121"
"0.10139080963783","1107.1697412951"
"0.10239080963783","1107.3464539835"
"0.10339080963783","1107.5229017811"
"0.10439080963783","1107.6990972919"
"0.10539080963783","1107.875051781"
"0.10639080963783","1108.0507753171"
"0.10739080963783","1108.2262769007"
"0.10839080963783","1108.4015645779"
"0.10939080963783","1108.5766455423"
"0.11039080963783","1108.7515262259"
"0.11139080963783","1108.9262123801"
"0.11239080963783","1109.1007091482"
"0.11339080963783","1109.2750211302"
"0.11439080963783","1109.4491524402"
"0.11539080963783","1109.6231067586"
"0.11639080963783","1109.7968873775"
"0.11739080963783","1109.9704972423"
"0.11839080963783","1110.1439389884"
"0.11939080963783","1110.3172149739"
"0.12039080963783","1110.490327309"
"0.12139080963783","1110.6632778823"
"0.12239080963783","1110.8360683842"
"0.12339080963783","1111.0087003278"
"0.12439080963783","1111.1811750676"
"0.12539080963783","1111.3534938163"
"0.12639080963783","1111.5256576598"
"0.12739080963783","1111.6976675703"
"0.12839080963783","1111.8695244185"
"0.12939080963783","1112.0412289843"
"0.13039080963783","1112.2127819663"
"0.13139080963783","1112.3841839902"
"0.13239080963783","1112.5554356166"
"0.13339080963783","1112.7265373478"
"0.13439080963783","1112.897489634"
"0.13539080963783","1113.0682928785"
"0.13639080963783","1113.2389474429"
"0.13739080963783","1113.4094536513"
"0.13839080963783","1113.5798117943"
"0.13939080963783","1113.7500221325"
"0.14039080963783","1113.9200848995"
"0.14139080963783","1114.0900003048"
"0.14239080963783","1114.2597685364"
"0.14339080963783","1114.429389763"
"0.14439080963783","1114.5988641359"
"0.14539080963783","1114.768191791"
"0.14639080963783","1114.9373728501"
"0.14739080963783","1115.1064074227"
"0.14839080963783","1115.2752956072"
"0.14939080963783","1115.4440374918"
"0.15039080963783","1115.6126331558"
"0.15139080963783","1115.7810826706"
"0.15239080963783","1115.9493861002"
"0.15339080963783","1116.1175435022"
"0.15439080963783","1116.2855549286"
"0.15539080963783","1116.4534204259"
"0.15639080963783","1116.6211400362"
"0.15739080963783","1116.7887137972"
"0.15839080963783","1116.956141743"
"0.15939080963783","1117.1234239044"
"0.16039080963783","1117.290560309"
"0.16139080963783","1117.4575509818"
"0.16239080963783","1117.6243959454"
"0.16339080963783","1117.7910952201"
"0.16439080963783","1117.9576488245"
"0.16539080963783","1118.1240567753"
"0.16639080963783","1118.2903190874"
"0.16739080963783","1118.4564357747"
"0.16839080963783","1118.6224068495"
"0.16939080963783","1118.7882323232"
"0.17039080963783","1118.9539122061"
"0.17139080963783","1119.1194465075"
"0.17239080963783","1119.284835236"
"0.17339080963783","1119.4500783993"
"0.17439080963783","1119.6151760046"
"0.17539080963783","1119.7801280585"
"0.17639080963783","1119.9449345669"
"0.17739080963783","1120.1095955354"
"0.17839080963783","1120.274110969"
"0.17939080963783","1120.4384808725"
"0.18039080963783","1120.6027052503"
"0.18139080963783","1120.7667841063"
"0.18239080963783","1120.9307174444"
"0.18339080963783","1121.094505268"
"0.18439080963783","1121.2581475804"
"0.18539080963783","1121.4216443847"
"0.18639080963783","1121.5849956838"
"0.18739080963783","1121.7482014804"
"0.18839080963783","1121.911261777"
"0.18939080963783","1122.0741765763"
"0.19039080963783","1122.2369458803"
"0.19139080963783","1122.3995696914"
"0.19239080963783","1122.5620480117"
"0.19339080963783","1122.7243808432"
"0.19439080963783","1122.8865681878"
"0.19539080963783","1123.0486100474"
"0.19639080963783","1123.2105064239"
"0.19739080963783","1123.372257319"
"0.19839080963783","1123.5338627343"
"0.19939080963783","1123.6953226716"
"0.20039080963783","1123.8566371325"
"0.20139080963783","1124.0178061184"
"0.20239080963783","1124.178829631"
"0.20339080963783","1124.3397076718"
"0.20439080963783","1124.5004402423"
"0.20539080963783","1124.6610273438"
"0.20639080963783","1124.8214689779"
"0.20739080963783","1124.9817651459"
"0.20839080963783","1125.1419158493"
"0.20939080963783","1125.3019210894"
"0.21039080963783","1125.4617808675"
"0.21139080963783","1125.621495185"
"0.21239080963783","1125.7810640433"
"0.21339080963783","1125.9404874436"
"0.21439080963783","1126.0997653873"
"0.21539080963783","1126.2588978756"
"0.21639080963783","1126.4178849099"
"0.21739080963783","1126.5767264915"
"0.21839080963783","1126.7354226215"
"0.21939080963783","1126.8939733013"
"0.22039080963783","1127.0523785322"
"0.22139080963783","1127.2106383154"
"0.22239080963783","1127.3687526521"
"0.22339080963783","1127.5267215436"
"0.22439080963783","1127.6845449911"
"0.22539080963783","1127.8422229959"
"0.22639080963783","1127.9997555592"
"0.22739080963783","1128.1571426822"
"0.22839080963783","1128.3143843662"
"0.22939080963783","1128.4714806124"
"0.23039080963783","1128.628431422"
"0.23139080963783","1128.7852367962"
"0.23239080963783","1128.9418967362"
"0.23339080963783","1129.0984112433"
"0.23439080963783","1129.2547803187"
"0.23539080963783","1129.4110039635"
"0.23639080963783","1129.567082179"
"0.23739080963783","1129.7230149663"
"0.23839080963783","1129.8788023268"
"0.23939080963783","1130.0344442615"
"0.24039080963783","1130.1899407717"
"0.24139080963783","1130.3452918586"
"0.24239080963783","1130.5004975234"
"0.24339080963783","1130.6555577672"
"0.24439080963783","1130.8104725913"
"0.24539080963783","1130.9652419968"
"0.24639080963783","1131.119865985"
"0.24739080963783","1131.274344557"
"0.24839080963783","1131.428677714"
"0.24939080963783","1131.5828654572"
"0.25039080963783","1131.7369077878"
"0.25139080963783","1131.8908047069"
"0.25239080963783","1132.0445562158"
"0.25339080963783","1132.1981623157"
"0.25439080963783","1132.3516230076"
"0.25539080963783","1132.5049382928"
"0.25639080963783","1132.6581081724"
"0.25739080963783","1132.8111326477"
"0.25839080963783","1132.9640117198"
"0.25939080963783","1133.1167453899"
"0.26039080963783","1133.2693336592"
"0.26139080963783","1133.4217765287"
"0.26239080963783","1133.5740739997"
"0.26339080963783","1133.7262260734"
"0.26439080963783","1133.8782327509"
"0.26539080963783","1134.0300940334"
"0.26639080963783","1134.1818099221"
"0.26739080963783","1134.3333804181"
"0.26839080963783","1134.4848055225"
"0.26939080963783","1134.6360852366"
"0.27039080963783","1134.7872195615"
"0.27139080963783","1134.9382084983"
"0.27239080963783","1135.0890520483"
"0.27339080963783","1135.2397502125"
"0.27439080963783","1135.3903029921"
"0.27539080963783","1135.5407103883"
"0.27639080963783","1135.6909724023"
"0.27739080963783","1135.8410890351"
"0.27839080963783","1135.991060288"
"0.27939080963783","1136.140886162"
"0.28039080963783","1136.2905666584"
"0.28139080963783","1136.4401017783"
"0.28239080963783","1136.5894915227"
"0.28339080963783","1136.738735893"
"0.28439080963783","1136.8878348901"
"0.28539080963783","1137.0367885154"
"0.28639080963783","1137.1855967698"
"0.28739080963783","1137.3342596545"
"0.28839080963783","1137.4827771708"
"0.28939080963783","1137.6311493196"
"0.29039080963783","1137.7793761022"
"0.29139080963783","1137.9274575197"
"0.29239080963783","1138.0753935732"
"0.29339080963783","1138.2231842638"
"0.29439080963783","1138.3708295928"
"0.29539080963783","1138.5183295611"
"0.29639080963783","1138.6656841701"
"0.29739080963783","1138.8128934207"
"0.29839080963783","1138.9599573141"
"0.29939080963783","1139.1068758514"
"0.30039080963783","1139.2536490338"
"0.30139080963783","1139.4002768624"
"0.30239080963783","1139.5467593383"
"0.30339080963783","1139.6930964626"
"0.30439080963783","1139.8392882365"
"0.30539080963783","1139.985334661"
"0.30639080963783","1140.1312357374"
"0.30739080963783","1140.2769914667"
"0.30839080963783","1140.4226018499"
"0.30939080963783","1140.5680668884"
"0.31039080963783","1140.7133865831"
"0.31139080963783","1140.8585609351"
