Time,Chamber Pressure,Free Volume,Regressed Length,Thrust,Exit Pressure
0.0,94016.70130400588,0.001207835942144271,0.0,-107.07467450495618,2467.2629227524617
0.0008465380208217219,209441.61052597448,0.001208101861117443,2.850662921647007e-06,-59.496113374591815,5496.337490733477
0.003981804911388,690665.0217411424,0.0012093475124508933,1.620346450198001e-05,138.86590087515032,18124.99456531493
0.011340201078021993,1741244.1604717327,0.0012130170146293737,5.5532877764925045e-05,571.9183859176541,45695.14880871591
0.021340201078021995,2745178.587076333,0.0012187499292000607,0.00011696087472007983,985.7437535012491,72041.21448939666
0.031340201078022,3351315.5064816927,0.0012248799937061,0.000182623185083784,1235.5955633721962,87947.95368166527
0.041340201078022,3705173.2780828616,0.001231207974834261,0.00025038463564386126,1381.4570046422436,97234.17780663543
0.051340201078022,3909328.6333515667,0.0012376420055850176,0.00031926216006509904,1465.610573540131,102591.78907728709
0.061340201078022,4026750.463144451,0.0012441350349480876,0.00038875353783711527,1514.0122724844753,105673.26846287993
0.071340201078022,4094384.82582153,0.0012506617160090974,0.00045858933812851187,1541.8913991031184,107448.18454717824
0.08134020107802199,4133513.9528479623,0.0012572079862034815,0.0005286210991703312,1558.020565456845,108475.04299863377
0.09134020107802199,4156303.6879448765,0.0012637658776223659,0.0005987656491242236,1567.4145759157846,109073.10980638265
0.10134020107802198,4169690.4986164453,0.0012703307876047966,0.0006689758327873651,1572.932667237416,109424.41740562578
0.11134020107802198,4177629.3193838834,0.0012768999976569219,0.0007392246326568732,1576.2050776012848,109632.75441232994
0.12134020107802197,4182378.4458492035,0.0012834718545176528,0.0008094963922523502,1578.1626845456533,109757.38486075909
0.13134020107802197,4185230.4871897027,0.0012900453119326614,0.0008797819069845187,1579.3383062046169,109832.2304547437
0.14134020107802198,4186927.6458673826,0.0012966196721981196,0.0009500756561673175,1580.037881092206,109876.76867637229
0.15134020107802199,4187897.778749193,0.0013031944395326487,0.0010203742331791942,1580.4377733419199,109902.22769435776
0.161340201078022,4188388.790227785,0.0013097692365119599,0.0010906754510636467,1580.6401700326114,109915.11321787616
0.171340201078022,4188545.304406268,0.0013163437562602209,0.0011609778309892595,1580.7046857377475,109919.22059054613
0.181340201078022,4188452.5118278544,0.0013229177350034915,0.0012312803086751327,1580.6664363044642,109916.78545205423
0.19134020107802202,4188161.3082522065,0.0013294909362611895,0.00130158206536757,1580.5464011472461,109909.14345041831
0.20134020107802203,4187702.74547839,0.0013360631417111228,0.0013718824302258565,1580.3573799289215,109897.10947226443
0.21134020107802204,4187096.3604063056,0.0013426341458929153,0.001442180823775917,1580.1074258296273,109881.19622084727
0.22134020107802205,4186354.9884774256,0.0013492037531254294,0.0015124767250521368,1579.8018296643256,109861.740534286
0.23134020107802206,4185487.552773835,0.001355771775704701,0.0015827696524417147,1579.4442695594214,109838.97657937526
0.24134020107802207,4184500.6843603235,0.001362338032844392,0.0016530591524774936,1579.0374788635797,109813.07837392323
0.2513402010780221,4183399.666046478,0.0013689023500478388,0.0017233447932542242,1578.5836351698392,109784.18455372592
0.2613402010780221,4182188.983448329,0.0013754645587315225,0.0017936261605415286,1578.0845874651993,109752.41283397608
0.2713402010780221,4180872.6475217068,0.0013820244959952704,0.0018639028554740676,1577.5419890800235,109717.86847344656
0.2813402010780221,4179454.383761058,0.0013885820044782107,0.001934174493166695,1576.9573756764707,109680.64923959984
0.2913402010780221,4177937.74340574,0.0013951369322648666,0.00200444070187362,1576.3322110881277,109640.84832695425
0.3013402010780221,4176326.16891098,0.0014016891328205443,0.002074701122468438,1575.6679143073732,109598.55607522637
0.3113402010780221,4174623.032533856,0.001408238464943788,0.0021449554081140053,1574.9658753906563,109553.86098193564
0.32134020107802214,4172831.6590779168,0.001414784792728713,0.0022152032240450137,1574.227464833912,109506.85029928734
0.33134020107802215,4170955.3392827646,0.0014213279855329877,0.002285444247417731,1573.4540390917955,109457.6103855529
0.34134020107802215,4168997.3376780353,0.0014278679179489683,0.00235567816719995,1572.6469438151182,109406.22691118043
0.35134020107802216,4166960.8971559326,0.0014344044697765233,0.0024259046840851557,1571.8075157356652,109352.78497879092
0.36134020107802217,4164849.2415963896,0.0014409375259966802,0.0024961235104213847,1570.9370837482961,109297.3691920698
0.3713402010780222,4162665.5773359505,0.0014474669767455953,0.002566334370149096,1570.0369695164215,109240.06369431468
0.3813402010780222,4160413.093950717,0.0014539927172885505,0.0026365369987446435,1569.108487794739,109180.9521889819
0.3913402010780222,4158094.9646336916,0.001460514647993816,0.002706731143167303,1568.1529465847732,109120.11794958917
0.4013402010780222,4155714.3463337854,0.0014670326743062866,0.0027769165618086095,1567.1716471921757,109057.64382336354
0.4113402010780222,4153274.37975677,0.0014735467067208497,0.002847093024443253,1566.165884227118,108993.6122312663
0.4213402010780222,4150778.189288132,0.001480056660755464,0.0029172603121810662,1565.1369455724926,108928.10516596858
0.43134020107802223,4148228.8828738355,0.0014865624569239508,0.0029874182174198095,1564.0861123347606,108861.2041887221
0.44134020107802224,4145629.5421935366,0.001493064020680116,0.0030575665437922203,1563.0146547933177,108792.99017147673
0.45134020107802225,4142983.081150483,0.001499561281911629,0.003127705105880147,1561.9237740695226,108723.53958325706
0.46134020107802226,4140292.128841622,0.0015060541742271736,0.003197833728306082,1560.8145538865563,108652.92141896859
0.47134020107802227,4137559.1129448484,0.0015125426347749765,0.003267952244825027,1559.6879949419458,108581.19938771374
0.4813402010780223,4134786.331935121,0.0015190266041710363,0.0033380604977334,1558.5450446753032,108508.43380794628
