Time,Position,Velocity
0.0,0.0,0.0
1.5862573144722079e-06,-4.349879419672652e-11,-3.249540326959611e-05
3.1725146289444157e-06,-1.3726886424766154e-10,-6.497700917978617e-05
1.9035087773666495e-05,-5.4852209926999244e-09,-0.000388578106867396
3.4897660918388575e-05,-1.5834947881338396e-08,-0.0007107961058023203
9.168560494893756e-05,-9.098699158303763e-08,-0.0018536929042735572
0.00014847354897948653,-2.2866956355057396e-07,-0.0029789725212999215
0.0002052614930100355,-4.292262207577186e-07,-0.004086271536749874
0.00043135691152379875,-1.8270214598843903e-06,-0.008315048146281695
0.0006574523300375619,-4.146092220147403e-06,-0.012256672824046258
0.0008835477485513251,-7.323808138698252e-06,-0.015907443536578095
0.0014953322000788877,-1.9476290276350047e-05,-0.02418359869302769
0.0021071166516064502,-3.594522298103067e-05,-0.03011510188060786
0.0027189011031340127,-5.532769105947824e-05,-0.033680843824985214
0.0036094299831767045,-8.535123091932831e-05,-0.034637143348952265
0.004499958863219396,-0.0001140403227510042,-0.03069723983034482
0.005390487743262088,-0.0001371432631287292,-0.022010793644536782
0.006195479906356235,-0.00015002421618810096,-0.010130626601506444
0.007000472069450382,-0.00015206656228860822,0.005563353298224099
0.007805464232544529,-0.00014002421380831902,0.02507090343376177
0.008610456395638675,-0.00011073410582775966,0.04839278908260477
0.009610456395638674,-4.5698080887221605e-05,0.08267638457246652
0.010610456395638674,5.657799238151935e-05,0.12284545032135245
0.011610456395638673,0.00020184544801987955,0.1686617215737125
0.012610456395638672,0.0003953465292018814,0.21928849501812175
0.013610456395638671,0.0006416556994359588,0.2741372791077167
0.01461045639563867,0.0009449106253387175,0.33304112057160684
0.01561045639563867,0.0013091350615138456,0.39603325542165957
0.01661045639563867,0.0017384064887391627,0.463162189393925
0.01761045639563867,0.0022368650575637413,0.5344416456312201
0.018610456395638672,0.0028086693529917168,0.6098661351830779
0.019610456395638673,0.003457969125920486,0.6894294290588283
0.020610456395638674,0.004188903439700929,0.7731296594172629
0.021610456395638675,0.005005495244145644,0.8607440134500149
0.022610456395638676,0.005911280856735909,0.9514878644485419
0.023610456395638676,0.006909166331933174,1.0448089951359396
0.024610456395638677,0.0080016482754214,1.140550600531981
0.025610456395638678,0.009191117473695805,1.2387437881473093
0.02661045639563868,0.0104800155516728,1.339434063470872
0.02761045639563868,0.011870842900277775,1.4426343143720946
0.02861045639563868,0.013366117091359183,1.548339395250706
0.029610456395638682,0.014968347358621138,1.6565434584999248
0.030610456395638683,0.016680032908220437,1.7672447464971375
0.031610456395638684,0.01850359823548909,1.8803021085957201
0.032610456395638684,0.020441159526480828,1.9952181494729198
0.033610456395638685,0.02249443372118973,2.1116427203225405
0.034610456395638686,0.024664878252407055,2.229476355090173
0.03561045639563869,0.026953883401460522,2.3487387530441213
0.03661045639563869,0.029362871621612274,2.469458760996983
0.03761045639563869,0.031893302606019684,2.5916445498005465
0.03861045639563869,0.034546646943669046,2.7152928545980846
0.03961045639563869,0.03732436993991666,2.840399963453831
0.04061045639563869,0.04022793053982504,2.9669647570972133
0.04161045639563869,0.043258743214418395,3.0949034918861655
0.04261045639563869,0.04641803951713419,3.2239210353742362
0.043610456395638694,0.049706814142320005,3.353809613114399
0.044610456395638695,0.05312590780926783,3.4845101953231374
0.045610456395638696,0.05667612138060585,3.616034464036244
0.0466104563956387,0.06035827479722825,3.7483995314883565
0.0476104563956387,0.06417321009060761,3.881610242015448
0.0486104563956387,0.0681217757538265,4.015664654115406
0.0496104563956387,0.07220481714125838,4.1505605607507
0.0506104563956387,0.0764231758290194,4.286297293221531
0.0516104563956387,0.08077766759194077,4.422826332461407
0.0526104563956387,0.0852690022310921,4.559976687948445
0.0536104563956387,0.08989775232596771,4.697627978120535
0.054610456395638704,0.09466440124718649,4.83574599779743
0.055610456395638705,0.09956940926805599,4.974337510131469
0.056610456395638706,0.10461324770910678,5.113412424826712
0.05761045639563871,0.10979640068442942,5.252973544157141
0.05861045639563871,0.1151193560474525,5.393019738886569
0.05961045639563871,0.12058259982889818,5.533549725881706
0.06061045639563871,0.12618661586610103,5.674563113247223
0.06161045639563871,0.13193187317452895,5.816032046157213
0.06261045639563871,0.13781877993514005,5.957858368108444
0.06361045639563871,0.14384766555829143,6.099972972702991
0.06461045639563871,0.15001880824257166,6.242356220705156
0.06561045639563871,0.1563324729234468,6.385011989810541
0.06661045639563871,0.1627889308730051,6.527945964019954
0.06761045639563872,0.16938846070264454,6.671159747525468
0.06861045639563872,0.17613134316586856,6.814652687725556
0.06961045639563872,0.18301785796554337,6.958424043665153
0.07061045639563872,0.19004828354108333,7.102473585976995
0.07161045639563872,0.19722288984031355,7.246785362444312
0.07261045639563872,0.20454191197686153,7.391303170516182
0.07361045639563872,0.21200553996124108,7.535987439825108
0.07461045639563872,0.21961393447906927,7.680826921786719
0.07561045639563872,0.2273672486179322,7.825823832159493
0.07661045639563872,0.23526563908896422,7.970981420894331
0.07761045639563872,0.24330926680096096,8.116300602101422
0.07861045639563873,0.2514982938848058,8.261780997789453
0.07961045639563873,0.25983288186550546,8.407422179379163
0.08061045639563873,0.26831319154034,8.553224011193569
0.08161045639563873,0.27693937883508396,8.699177344927822
0.08261045639563873,0.28571157970389627,8.845249960515513
0.08361045639563873,0.29462990424308283,8.991419171623317
0.08461045639563873,0.30369444573536764,9.137678526185885
0.08561045639563873,0.31290529310393767,9.284029289993558
0.08661045639563873,0.32226253734473537,9.430473321636656
0.08761045639563873,0.33176627185553165,9.577011140781458
0.08861045639563873,0.341416590730297,9.723642526451945
