Time [s],Thrust [N]
0.0,-102.08877855930695
0.0010191627479219922,-56.76598059829006
0.004759429687963704,126.63645829983423
0.013367971641374696,500.94764059693625
0.023367971641374698,796.7440803346647
0.0333679716413747,977.5387445653638
0.0433679716413747,1085.4291031835733
0.053367971641374704,1149.5386987881586
0.0633679716413747,1187.9021901690523
0.0733679716413747,1211.257281039427
0.08336797164137469,1225.8909243394655
0.09336797164137468,1235.4572619716876
0.10336797164137468,1242.0742294944594
0.11336797164137467,1246.9688133701945
0.12336797164137467,1250.8524143621257
0.13336797164137468,1254.1381141022264
0.1433679716413747,1257.066219552697
0.1533679716413747,1259.7768144255651
0.1633679716413747,1262.3517322223558
0.1733679716413747,1264.8388790345184
0.18336797164137472,1267.266356041
0.19336797164137473,1269.6506770113267
0.20336797164137474,1272.0015605571891
0.21336797164137475,1274.3247312516276
0.22336797164137476,1276.6235606912057
0.23336797164137477,1278.9000311528932
0.24336797164137478,1281.1553027758175
0.25336797164137476,1283.3900481572853
0.26336797164137477,1285.6046501921842
0.2733679716413748,1287.7993193175184
0.2833679716413748,1289.9741631515744
0.2933679716413748,1292.1292279501142
0.3033679716413748,1294.2645233403007
0.3133679716413748,1296.3800371103425
0.3233679716413748,1298.4757440724063
0.3333679716413748,1300.5516113854203
0.34336797164137484,1302.607601758721
0.35336797164137485,1304.6436753843718
0.36336797164137485,1306.659791105122
0.37336797164137486,1308.6559071218487
0.38336797164137487,1310.6319814229396
0.3933679716413749,1312.5879720454343
0.4033679716413749,1314.5238372341391
0.4133679716413749,1316.4395355387721
0.4233679716413749,1318.3350258733617
0.4333679716413749,1320.2102675526269
0.4433679716413749,1322.0652203142656
0.45336797164137493,1323.8998443326464
0.46336797164137494,1325.7141002271808
0.47336797164137495,1327.5079490674655
0.48336797164137496,1329.2813523763916
0.49336797164137497,1331.0342721320535
0.5033679716413749,1332.7666707688559
0.5133679716413749,1334.4785111781605
0.5233679716413749,1336.1697567086517
0.533367971641375,1337.8403711664987
0.543367971641375,1339.490318815426
0.553367971641375,1341.1195643766916
0.563367971641375,1342.7280730290472
0.573367971641375,1344.3158104086378
0.583367971641375,1345.8827426089256
0.593367971641375,1347.4288361805739
0.603367971641375,1348.9540581313363
0.613367971641375,1350.4583759259467
0.623367971641375,1351.941757486003
0.633367971641375,1353.404171189848
0.643367971641375,1354.8455858724594
0.6533679716413751,1356.2659708253314
0.6633679716413751,1357.6652957963654
0.6733679716413751,1359.0435309897623
0.6833679716413751,1360.400647065904
0.6933679716413751,1361.7366151412518
0.7033679716413751,1363.0514067882377
0.7133679716413751,1364.3449940351597
0.7233679716413751,1365.6173493660774
0.7333679716413751,1366.8684457207144
0.7433679716413751,1368.098256494354
0.7533679716413751,1369.3067555377468
0.7633679716413752,1370.493917157007
0.7733679716413752,1371.6597161135255
0.7833679716413752,1372.8041276238696
0.7933679716413752,1373.9271273597008
0.8033679716413752,1375.0286914476796
0.8133679716413752,1376.1087964693806
0.8233679716413752,1377.167419461203
0.8333679716413752,1378.2045379142955
0.8433679716413752,1379.2201297744637
0.8533679716413752,1380.2141734420995
0.8633679716413752,1381.1866477720994
0.8733679716413753,1382.137532073788
0.8833679716413753,1383.0668061108406
0.8933679716413753,1383.9744501012171
0.9033679716413753,1384.8604447170862
0.9133679716413753,1385.7247710847585
0.9233679716413753,1386.5674107846214
0.9333679716413753,1387.3883458510688
0.9433679716413753,1388.1875587724433
0.9533679716413753,1388.9650324909733
0.9633679716413753,1389.7207504027115
0.9733679716413753,1390.4546963574835
0.9833679716413753,1391.1668546588273
0.9933679716413754,1391.857210063937
1.0033679716413753,1392.525747783618
1.0133679716413753,1393.1724534822365
1.0233679716413753,1393.7973132776679
1.0333679716413753,1394.4003137412533
1.0433679716413753,1394.9814418977548
1.0533679716413753,1395.5406852253177
1.0633679716413753,1396.0780316554235
1.0733679716413753,1396.5934695728617
1.0833679716413753,1397.0869878156827
1.0933679716413753,1397.5585756751743
1.1033679716413753,1398.0082228958224
1.1133679716413754,1398.4359196752837
1.1233679716413754,1398.8416566643616
1.1333679716413754,1399.2254249669745
1.1433679716413754,1399.5872161401358
1.1533679716413754,1399.9270221939294
1.1633679716413754,1400.2448355914937
1.1733679716413754,1400.5406492489994
1.1833679716413754,1400.8144565356345
1.1933679716413754,1401.066251273593
1.2033679716413754,1401.296027738066
1.2133679716413754,1401.503780657225
1.2233679716413755,1401.689505212216
1.2333679716413755,1401.8531970371569
1.2433679716413755,1401.9948522191326
1.2533679716413755,1402.1144672981904
1.2633679716413755,1402.2120392673478
1.2733679716413755,1402.2875655725888
1.2833679716413755,1402.3410441128742
1.2933679716413755,1402.3724732401363
1.3033679716413755,1402.3818517593054
1.3133679716413755,1402.3691789283048
1.3233679716413755,1402.3344544580716
1.3333679716413755,1402.2776785125716
1.3433679716413756,1402.1988517088187
1.3533679716413756,1402.0979751168827
1.3633679716413756,1401.9750502599193
1.3733679716413756,1401.8300791141976
1.3833679716413756,1401.6630641091162
1.3933679716413756,1401.474008127233
1.4033679716413756,1401.2629145042997
1.4133679716413756,1401.029787029285
1.4233679716413756,1400.7746299444143
1.4333679716413756,1400.4974479452073
1.4433679716413756,1400.1982461805064
1.4533679716413757,1399.8770302525247
1.4633679716413757,1399.533806216886
1.4733679716413757,1399.1685805826644
1.4833679716413757,1398.7813603124405
1.4933679716413757,1398.3721528223355
1.5033679716413757,1397.940965982074
1.5133679716413757,1397.4878081150266
1.5233679716413757,1397.0126879982727
1.5333679716413757,1396.515614862648
1.5433679716413757,1395.9965983928125
